Term,Freq,Total,Category,logprob,loglift,relevance
energy,13.852084617820676,14.694515243992011,Topic3,-4.1079,2.7544,2.7544
investment,10.1252984963897,11.906870404278902,Topic3,-4.4213,2.6513,2.6513
vendor,4.641699751859331,5.48440230609972,Topic3,-5.2013,2.6466,2.6466
exposure,3.720537845433422,4.56336124621005,Topic3,-5.4225,2.6092,2.6092
doorstep,2.780686426323172,3.6413319807532374,Topic3,-5.7136,2.5437,2.5437
air,4.643307034257899,6.381420130007497,Topic3,-5.2009,2.4954,2.4954
away_business,1.8802630528324489,2.7214391748487277,Topic3,-6.1049,2.4436,2.4436
varying,1.8802595220680878,2.7214356440843663,Topic3,-6.1049,2.4436,2.4436
substitute,1.8802228413494484,2.721398963365727,Topic3,-6.105,2.4436,2.4436
materialisation,1.8793964463353936,2.7213841712149778,Topic3,-6.1054,2.4432,2.4432
proceeds,1.8793964463353936,2.7213841839503483,Topic3,-6.1054,2.4432,2.4432
flight,5.564317510123436,8.14803711430168,Topic3,-5.02,2.432,2.432
equity,2.801283140223191,4.524809654079248,Topic3,-5.7063,2.3339,2.3339
delegated,2.800809429338087,4.5674577726691075,Topic3,-5.7064,2.3243,2.3243
away,7.399863824630699,12.460555112399895,Topic3,-4.7349,2.2923,2.2923
risk,6.435113455246525,10.948851364125412,Topic3,-4.8746,2.2819,2.2819
borne,3.7222961660852105,6.345921785540036,Topic3,-5.422,2.2799,2.2799
cancellation,11.084482419605147,19.559963842281707,Topic3,-4.3308,2.2455,2.2455
back,4.633198848199446,8.240629936992022,Topic3,-5.2031,2.2376,2.2376
avoid,5.561661198402494,10.10938093270789,Topic3,-5.0204,2.2158,2.2158
premise,10.138718539418791,18.674123465149965,Topic3,-4.42,2.2026,2.2026
inherent,1.8793964463353936,3.5776941875080372,Topic3,-6.1054,2.1696,2.1696
proportion,1.8802626605252977,3.5851332775053675,Topic3,-6.1049,2.168,2.168
repay,1.8793964463353936,3.587074724368916,Topic3,-6.1054,2.167,2.167
negotiated_away,5.556057483054402,10.618433562250845,Topic3,-5.0215,2.1657,2.1657
business_premise,5.555975098552644,10.618433510248584,Topic3,-5.0215,2.1657,2.1657
shown,1.8799492071114692,3.594813421901808,Topic3,-6.1051,2.1651,2.1651
attention,1.879141250533522,3.59370550878404,Topic3,-6.1055,2.165,2.165
installation,1.8802630528324489,3.602223651631083,Topic3,-6.1049,2.1633,2.1633
speed,1.880262464371722,3.6037194861359496,Topic3,-6.1049,2.1628,2.1628
profit,2.801283140223191,5.391090337041593,Topic3,-5.7063,2.1587,2.1587
reasonable,4.642881773305971,9.007230552012945,Topic3,-5.201,2.1507,2.1507
settlement,2.801282944069615,5.471343981234322,Topic3,-5.7063,2.1439,2.1439
carrying,3.695589464458444,7.301288934248562,Topic3,-5.4292,2.1325,2.1325
return,3.7222957737780593,8.113356944828405,Topic3,-5.422,2.0342,2.0342
net,5.564317510123436,12.578305042188962,Topic3,-5.02,1.9978,1.9978
directly,4.642725242752633,11.670937723749791,Topic3,-5.201,1.8916,1.8916
caused,4.643307034257899,11.71180274326006,Topic3,-5.2009,1.8882,1.8882
building,4.643292911200454,11.809071714888624,Topic3,-5.2009,1.88,1.88
passenger,5.564317510123436,15.26240283350602,Topic3,-5.02,1.8044,1.8044
intermediary,6.485327201374671,17.89935394733007,Topic3,-4.8668,1.7982,1.7982
taking_account,6.484463733334825,21.548209318007643,Topic3,-4.8669,1.6125,1.6125
prior,7.40556326292369,25.558028425360536,Topic3,-4.7341,1.5747,1.5747
protect,5.556279136594844,19.789047024799235,Topic3,-5.0214,1.5432,1.5432
negotiated,5.205874312192535,20.23101827156301,Topic3,-5.0866,1.456,1.456
distance,4.642737796581472,20.68947334808423,Topic3,-5.201,1.3191,1.3191
conformity,5.549987706810654,26.237760240820393,Topic3,-5.0225,1.26,1.26
common,5.344680428438826,27.002997028619514,Topic3,-5.0602,1.1935,1.1935
taking,6.483161273592759,33.990340680874816,Topic3,-4.8671,1.1565,1.1565
regulatory,5.563709041731887,29.72289241131799,Topic3,-5.0201,1.1377,1.1377
framework,5.562240636064852,32.222200681069296,Topic3,-5.0203,1.0567,1.0567
individual,4.64330742656505,32.97930562618032,Topic3,-5.2009,0.8529,0.8529
reasonably,4.643021042344656,35.56603748447477,Topic3,-5.201,0.7774,0.7774
required,6.136969827994603,51.78010335119947,Topic3,-4.922,0.6807,0.6807
